"39","2525 HOLTON ROAD, GROVE CITY, OH, 43123","Match","Exact","2525 HOLTON RD, GROVE CITY, OH, 43123","-83.06844818499997,39.85540073900006","640027271","L"
"260","4700 STILES AVENUE, COLUMBUS, OH, 43228","Match","Exact","4700 STILES AVE, COLUMBUS, OH, 43228","-83.12564045199997,39.94706256100005","218645944","R"
"140","1861 GANTZ ROAD, GROVE CITY, OH, 43123","Match","Exact","1861 GANTZ RD, GROVE CITY, OH, 43123","-83.04866427399998,39.91789277000004","218676565","R"
"261","485 CHERRY BOTTOM ROAD, GAHANNA, OH, 43230","Match","Exact","485 CHERRY BOTTOM RD, GAHANNA, OH, 43230","-82.87542252699996,40.03067219700006","218655689","L"
"141","8075 DELLINGER ROAD, GALLOWAY, OH, 43119","Match","Exact","8075 DELLINGER RD, GALLOWAY, OH, 43119","-83.22278295799998,39.97128972100006","218680528","L"
"262","745 PLEASANT RIDGE AVENUE, COLUMBUS, OH, 43209","Match","Exact","745 PLEASANT RIDGE AVE, COLUMBUS, OH, 43209","-82.93646835599998,39.95367348800005","218649583","R"
"142","1850 HASTINGS LANE, COLUMBUS, OH, 43220","Match","Exact","1850 HASTINGS LN, COLUMBUS, OH, 43220","-83.06699741299997,40.03249955500007","135565177","R"
"263","1850 SUTTER PARKWAY, POWELL, OH, 43065","Match","Exact","1850 SUTTER PKWY, POWELL, OH, 43065","-83.06529142199997,40.11994776300003","218663500","R"
"143","575 OBETZ ROAD, COLUMBUS, OH, 43207","Match","Exact","575 OBETZ RD, COLUMBUS, OH, 43207","-82.98712876299999,39.87853383700008","135713222","R"
"264","5089 JOHNSTOWN ROAD, NEW ALBANY, OH, 43054","Match","Non_Exact","5089 E JOHNSTOWN RD, NEW ALBANY, OH, 43054","-82.83514036699995,40.059129659000064","646879960","L"
"144","2500 WEST BROAD STREET, COLUMBUS, OH, 43204","Match","Exact","2500 W BROAD ST, COLUMBUS, OH, 43204","-83.06698660199999,39.95533976200005","135567090","R"
"265","7200 COFFMAN ROAD, DUBLIN, OH, 43017","Match","Exact","7200 COFFMAN RD, DUBLIN, OH, 43017","-83.13194960999994,40.11566553700004","218548385","R"
